Entidad,Incidentes
México,3721417
Ciudad de México,2236215
Jalisco,1406329
Guanajuato,1361281
Baja California,1112615
Nuevo León,894970
Veracruz de Ignacio de la Llave,757938
Chihuahua,725859
Puebla,714594
Coahuila de Zaragoza,582259
Querétaro,558634
Tabasco,538708
Hidalgo,481158
San Luis Potosí,473973
Morelos,466315
Michoacán de Ocampo,451545
Tamaulipas,431374
Quintana Roo,428109
Oaxaca,372128
Aguascalientes,368721
Sonora,323731
Guerrero,300597
Durango,290319
Sinaloa,284027
Colima,241378
Zacatecas,233016
Baja California Sur,231840
Chiapas,206677
Yucatán,154514
Campeche,84599
Nayarit,70251
Tlaxcala,54361
